Q1,Q2,Major,DL_level,Concept
No,1st,English Education,1,"A1, A2, A3, A4, A5, A6"
No,1st,English Education,3,A2
No,1st,English Education,2,A2
No,1st,English Education,4,A2
No,1st,English Education,1,A4
No,1st,English Education,4,A6
No,1st,English Education,3,A4
No,1st,English Education,2,A2
No,1st,English Education,1,"A2, A4, A5"
No,1st,English Education,2,A2
No,1st,English Education,1,A2
No,1st,English Education,2,A6
No,1st,English Education,1,A6
No,1st,English Education,2,A6
