Q1,Q2,Major,DL_level,Concept,Current_DL
YES,2nd,English Education,5,A4,Intermediate
YES,2nd,English Education,5,A2,Intermediate
YES,2nd,English Education,5,A2,Intermediate
YES,2nd,English Education,4,A4,Advanced
YES,2nd,English Education,6,"A1, A2, A4, A5",Advanced
YES,2nd,English Education,5,A2,Intermediate
YES,2nd,English Education,5,"A5, A6",Intermediate
YES,2nd,English Education,2,A2,Intermediate
YES,2nd,English Education,4,"A4, A6",Intermediate
YES,2nd,English Education,5,"A2, A3, A4",Intermediate
YES,2nd,English Education,5,A6,Intermediate
YES,2nd,English Education,5,A6,Beginner
YES,2nd,English Education,5,"A4, A6",Intermediate
YES,2nd,English Education,5,A6,Intermediate
YES,2nd,English Education,5,A5,Advanced
YES,2nd,English Education,4,A6,Beginner
YES,2nd,English Education,5,"A2, A3, A5",Advanced
YES,2nd,English Education,5,"A4, A5, A6",Advanced
YES,2nd,English Education,4,A2,Intermediate
YES,2nd,English Education,5,A6,Beginner
YES,2nd,English Education,3,A2,Intermediate
No,Graduate,English Education,4,A6,Intermediate
No,Graduate,English Education,4,A2,Intermediate
No,Graduate,English Education,5,"A2, A3",Advanced
No,3rd,English Education,3,A5,Intermediate
No,1st,English Education,3,A1,Beginner
No,1st,English Education,5,A4,Advanced
No,1st,English Education,1,A3,Intermediate
No,1st,English Education,3,"A1, A2, A3, A4, A5, A6",Advanced
No,1st,English Education,1,"A1, A2, A3, A4, A5, A6",Beginner
No,1st,English Education,3,A2,Beginner
No,1st,English Education,2,A2,Intermediate
No,1st,English Education,4,A2,Beginner
No,1st,English Education,1,A4,Beginner
No,1st,English Education,4,A6,Beginner
No,1st,English Education,3,A4,Beginner
No,1st,English Education,2,A2,Intermediate
No,1st,English Education,1,"A2, A4, A5",Intermediate
No,1st,English Education,2,A2,Advanced
No,1st,English Education,1,A2,Beginner
No,1st,English Education,2,A6,Beginner
No,1st,English Education,1,A6,Beginner
No,1st,English Education,2,A6,Beginner
